Country Name,Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Adults (ages 15-49) newly infected with HIV,Bank liquid reserves to bank assets ratio (%),"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Number of deaths ages 5-9 years,Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,Number of under-five deaths
Bhutan,100,10.5963963219461,100,16.8173555839128,6.11,72.975,0.0685234157812362,28,58,69,95,184,5,126,229
Bolivia,99.8,7.39885997772217,1800,25.373164498674,7.172,68.581,0.368770269322554,444,440,950,1102,5198,380,3185,5993
Bosnia and Herzegovina,100,1.70448994636536,,28.0771964887025,13.457,77.85,0.00677838109450252,14,21,45,68,132,2,111,151
Botswana,76,,4000,12.7388390576132,5.724,69.163,0.445021383551757,141,145,241,463,2335,95,1280,2415
Brazil,99.8,,,23.2808234117682,7.077,75.848,0.0964280845728622,2983,4219,14767,26088,32589,1700,19804,38010
British Virgin Islands,100,23.4680573663625,,,5.972,77.276,,0,0,2,3,4,,2,4
Brunei Darussalam,100,0.539294160416482,,9.81451241824309,5.23,75.327,0.0589846724641408,7,6,11,20,52,2,31,59
Bulgaria,100,6.14157009124756,500,27.2020106903205,15.7,75.7073170731707,0.00724689697829005,49,63,142,204,316,3,162,382
Burkina Faso,21.7,55.5335316064791,2100,6.25110826306525,7.964,61.092,0.984400875610166,3296,1767,3678,4766,32235,1800,17816,55356
Burundi,11.6,,810,13.3131943085226,6.718,63.651,1.76258043637167,4198,3040,2285,1876,14362,1800,9030,22339
Cabo Verde,98.6,,200,36.9754597022124,5.059,76.059,0.0606167982992853,9,10,22,22,71,3,54,75
Cambodia,95,14.4225665631273,1400,20.2689492915363,6.39,70.668,0.339229051473357,865,505,1606,1276,7364,500,4278,8329
Cameroon,72,47.098440746495,10000,,7.151,63.7,1.12855680980856,9365,5155,6637,8516,39004,2500,24122,63046
Canada,100,1.274090051651,,,8.1,81.6465853658537,0.0144702633100448,169,246,787,1598,1576,42,1209,1808
Cayman Islands,100,3.51170568561873,,,4.801,80.358,,,,,,,,,
Central African Republic,17.6,,2700,,9.419,57.408,4.23609918242882,1952,1497,1344,2386,13774,1700,7326,20141
Chad,12,58.6293036396342,2700,,11.032,55.069,4.22507861839587,6678,4980,5914,6389,47049,6100,25682,78937
Channel Islands,100,,,,10.4,81.1,,,,,,,,,
Chile,100,1.15777003765106,3700,18.2739785996057,6.495,81.167,0.0107895075108553,141,186,527,968,1131,17,818,1320
China,100,,,,7.87,77.953,0.0131920135206366,15075,15647,20157,38630,40795,1400,25199,62190
Colombia,98.7,,11000,5.43712518779572,5.398,77.725,0.092176010918302,805,1171,3937,6990,7724,420,4615,8500
Comoros,89.8,,100,43.5056633538309,7.196,66.777,0.660579199223931,70,39,58,63,861,44,549,961
"Congo, Dem. Rep.",22.1,,17000,12.8027398423324,8.525,61.895,2.46264403802706,32364,22854,34495,33945,190533,19000,110646,306481
"Congo, Rep.",51.3,,8100,26.3497313026927,6.288,65.772,0.963748162029176,529,483,545,1059,5175,460,3344,7520
Costa Rica,100,6.3568000793457,1100,24.193687556206,5.457,80.799,0.0293771962797202,44,68,210,398,478,13,374,553
Cote d'Ivoire,72.4,32.3116835224311,7000,11.5428540620014,7.66,61.944,1.48980512002707,7889,5335,4358,4563,45897,3600,28104,65790
Croatia,100,,100,,13.3,78.4731707317073,0.00359183052945134,25,24,72,80,124,1,88,149
Cuba,100,6.19487502067399,1700,,10.147,78.085,0.0404435284632331,118,145,279,440,631,33,398,806
Curacao,100,0.0274240162606887,,,9.7,76.8,,,,,,,,,
Cyprus,100,1.1285400390625,,,7.063,81.648,0.0180996793143021,7,6,12,29,42,2,28,52
Czechia,100,0.403349995613098,,50.4613699380413,10.4,79.8780487804878,0.0031641739351163,47,51,152,241,196,2,120,249
Denmark,100,1.03260004520416,100,4.06618308180862,9.8,81.8536585365854,0.00499167065228535,17,22,64,114,175,2,101,200
Djibouti,65.2,,500,9.28301652167821,7.456,65.987,0.37733059286671,154,110,226,328,1055,39,674,1198
Dominica,100,7.46212005615234,100,20.77872940955,12.763,71.132,0.0487406474867623,0,1,3,7,24,0,23,26
Dominican Republic,99.6,9.8290901184082,3400,44.3446935459797,6.25,73.72,0.270778358174781,291,309,732,1519,5770,250,4417,6396
Ecuador,98.7,13.6210153689061,1700,5.06396279865865,5.128,77.392,0.0978263804909136,435,621,1973,3584,3018,150,1919,3581
"Egypt, Arab Rep.",100,7.83279726189421,5400,38.632414751384,5.461,71.633,0.0449770659158685,4608,4317,7731,8389,38495,410,22248,41799
El Salvador,98.3,22.3276804204188,840,12.4195511755394,7.519,72.099,0.0687373190839062,131,273,371,740,913,39,439,1041
Equatorial Guinea,66.9,,,24.7047277213841,7.878,63.707,0.714376065052334,382,256,354,369,2655,95,1490,3801
Eritrea,54.4,,500,,6.047,68.624,1.06336814939602,295,274,640,826,2501,290,1623,3439
Estonia,100,2.10560989379883,100,,11.7,78.490243902439,0.00567090274762537,7,9,29,31,18,1,11,25
Eswatini,86.4,,4000,15.4726058489304,7.7,64.123,0.329335952846979,106,214,224,316,1288,35,725,1333
